Station,Lon,Lat,data
58351,120.18,31.54,144.8666667
58257,120.16,32,144.8333333
58334,118.23,31.2,144.7666667
56592,104.31,28.26,144.7
58455,120.39,30.31,144.7
58512,116.33,29.54,144.6333333
57516,106.28,29.35,144.6
58746,119.42,27.33,144.6
57494,114.08,30.37,144.5666667
58456,120.31,30.38,144.5666667
56869,101.58,24.04,144.5
58644,119.17,28.36,144.4666667
56492,104.36,28.48,144.4
57612,106.39,29.01,144.4
57752,110.36,27.55,144.4
57509,106.56,28.57,144.3666667
57511,106.27,29.51,144.3666667
58510,116.14,29.44,144.3666667
57682,113.34,28.43,144.3333333
58449,119.57,30.03,144.3333333
57477,112.13,30.04,144.2333333
57514,106.14,29.35,144.2
57731,108.15,27.57,144.2
58602,115.33,28.51,144.2
57769,111.44,27.14,144.1666667
57523,107.44,29.51,144.1
57571,112.23,29.42,144.0333333
57771,112.32,27.56,144
58420,117.13,30.43,144
57827,107.31,26.16,143.9666667
57760,111.26,27.42,143.9333333
57349,109.52,31.04,143.9
57510,106.03,29.51,143.9
58542,119.41,29.49,143.9
58353,120.34,31.52,143.8333333
58408,115.26,30.14,143.7666667
57485,113.26,30.22,143.7333333
57475,112.53,30.25,143.5666667
57517,106.15,29.17,143.5666667
57589,113.48,29.15,143.5666667
57835,108.38,26.29,143.5
57761,111.18,27.45,143.3666667
57734,108.14,27.34,143.3
58409,115.56,30.04,143.3
56984,103.09,23.23,143.2666667
57844,109.11,26.41,143.2666667
58336,118.31,31.42,143.2666667
57657,110.12,28.14,143.2
57907,104.54,25.05,143.2
57496,114.52,30.22,143.1666667
57605,105.49,28.02,143.1666667
58333,118.51,31.57,143.1333333
58417,116.08,30.1,143.1
56493,104.58,28.51,142.9333333
57860,111.17,27,142.8333333
57912,106.38,26.08,142.8333333
57903,105.36,25.56,142.8
56498,104.3,28.1,142.7666667
57590,114.2,29.5,142.7666667
58265,121.36,32.04,142.7666667
58507,115.07,29.15,142.7666667
57565,111.45,29.39,142.7333333
57842,109.43,26.53,142.7333333
56499,104.47,28.23,142.7
56752,100.34,25.5,142.6333333
57489,114,30.35,142.6
57857,110.19,26.22,142.6
57745,109.41,27.27,142.5333333
57493,114.19,30.21,142.5
57663,111.57,28.55,142.5
56399,104.59,29.11,142.2666667
57655,110.24,28.28,142.2333333
58544,119.16,29.29,142.2
57600,105.04,28.44,142.1666667
56986,103.41,22.59,142.1333333
58429,117.47,30.58,142.1333333
57636,108.3,28.34,142.0666667
58418,116.42,30.08,142.0666667
57537,108.1,29.18,142.0333333
56496,105.14,28.19,141.9
57562,111.22,29.35,141.9
58749,119.53,27.14,141.8333333
57585,113.27,29.29,141.8
57595,114.3,29.36,141.7666667
57649,109.44,28.19,141.7666667
56395,104.4,29.31,141.7333333
56992,104.42,23.27,141.6333333
58501,115.32,29.52,141.6333333
57694,114.23,28.32,141.5666667
57453,111.19,30.46,141.4666667
57352,111,30.48,141.3666667
57378,112.34,31.1,141.3
